buyer_key,buyer_name,n_live_contracts,expected_renewals_12m,expected_renewals_24m,max_p12,high_risk_contracts
SIREN:555650308,SPL Laval Mayenne Aménagements,3,0.1027942205310394,0.1791022872833949,0.039632253213387,0
SIREN:200052702,MAIRIE DE BAUGE EN ANJOU,3,0.10192251804432159,0.1776731150830966,0.0378468905367105,0
NAME:soc publique reg abe fontevraud,SOC PUBLIQUE REG ABE DE FONTEVRAUD,4,0.1007951640662659,0.17680213375521792,0.0282575670152661,0
SIREN:200071900,Vendée Grand Littoral,3,0.0995481878567698,0.1736584858940902,0.0363176382373029,0
SIREN:130026123,UNIVERSITE GUSTAVE EIFFEL,3,0.0980012736725882,0.1709420678580656,0.0363176382373029,0
SIREN:535164412,Loire Océan Métropole Aménagement,3,0.0977067089069909,0.17045360803057608,0.0391067487429046,0
NAME:chd vendee,CHD VENDEE,6,0.0976715493854642,0.1725593543638254,0.0214112030554496,0
SIRET:24850058900085,La Roche sur Yon Agglomération (85),2,0.0964195683332564,0.1662949894263522,0.0482097841666282,0
NAME:uniha gcs,UniHA GCS,3,0.0955797846894717,0.16692464605645618,0.0318599282298239,0
SIREN:214400558,Commune de La Baule,3,0.0955456147752967,0.1667129569114348,0.0362540168672488,0
SIRET:24440055200026,Cté de Cnes du Pays d'Ancenis,2,0.0954314216703886,0.164652672238369,0.0477157108351943,0
SIREN:246100663,Communauté urbaine d'Alençon,2,0.09493611554915529,0.1638088613103991,0.050286970512537,0
SIRET:12002701600563,INSEE,2,0.0944201592537844,0.1629706559358416,0.0472100796268922,0
SIRET:47865038500014,CNIEG (Caisse Nationale des Industries Electriques et Gazières),2,0.0944037945489319,0.1629434259621749,0.0472100796268922,0
SIRET:26720016000013,CH DU MANS,2,0.094298957086257,0.1627689753610102,0.0471494785431285,0
NAME:audencia eesc,AUDENCIA EESC,3,0.092896107926043,0.1623184379695588,0.0348557551296087,0
NAME:communaute communes grand lieu,Communauté de Communes de Grand Lieu,4,0.0909742300516602,0.1599162910748511,0.026655121834871,0
SIREN:983291931,MASH,2,0.0904141926482626,0.15627949144055991,0.0476617660647412,0
