buyer_key,boamp_siret,boamp_name,source_b,decp_siret,decp_name,source_d
SIRET:21440055800018,,,,21440055800018,COMMUNE DE LA BAULE-ESCOUBLAC (MAIRIE),DECP
SIRET:21440066500011,,,,21440066500011,COMMUNE DE GRANDCHAMP-DES-FONTAINES (MAIRIE),DECP
SIRET:21440069900143,,,,21440069900143,COMMUNE DE GUERANDE (MAIRIE),DECP
SIRET:21440090500011,,,,21440090500011,COMMUNE DE LA MARNE (MAIRIE),DECP
SIRET:21440092100018,,,,21440092100018,COMMUNE DE MASSERAC (MAIRIE),DECP
SIRET:21440102800011,,,,21440102800011,COMMUNE DE MONTBERT (MAIRIE),DECP
SIRET:21440109300015,,,,21440109300015,COMMUNE DE NANTES (MAIRIE),DECP
SIRET:21440110100016,,,,21440110100016,COMMUNE DE NORT-SUR-ERDRE (MAIRIE),DECP
SIRET:21440113500014,,,,21440113500014,COMMUNE DE NOZAY (MAIRIE),DECP
SIRET:21440114300018,,,,21440114300018,COMMUNE D'ORVAULT (MAIRIE),DECP
SIRET:21440120000016,,,,21440120000016,COMMUNE DU PELLERIN (MAIRIE),DECP
SIRET:21440123400015,,,,21440123400015,COMMUNE DE PIERRIC (MAIRIE),DECP
SIRET:21440129100015,,,,21440129100015,COMMUNE DE PONTCHATEAU (MAIRIE),DECP
SIRET:21440132500011,,,,21440132500011,COMMUNE DE PORNICHET (MAIRIE),DECP
SIRET:21440135800095,,,,21440135800095,COMMUNE DU POULIGUEN (MAIRIE),DECP
SIRET:21440143200015,,,,21440143200015,COMMUNE DE REZE (MAIRIE),DECP
SIRET:21440150700063,,,,21440150700063,COMMUNE DE SAINT-AIGNAN-GRANDLIEU (MAIRIE),DECP
SIRET:21440154900016,,,,21440154900016,COMMUNE DE SAINT-BREVIN-LES-PINS (MAIRIE),DECP
SIRET:21440158000011,,,,21440158000011,COMMUNE DE SAINT-ETIENNE-DE-MONTLUC (MAIRIE),DECP
SIRET:21440162200011,,,,21440162200011,COMMUNE DE SAINT-HERBLAIN (MAIRIE),DECP
SIRET:21440172100011,,,,21440172100011,COMMUNE DE SAINTE-LUCE-SUR-LOIRE (MAIRIE),DECP
SIRET:21440179600088,,,,21440179600088,COMMUNE DE SAINT-MARS-DU-DESERT (MAIRIE),DECP
SIRET:21440182000011,,,,21440182000011,COMMUNE DE SAINT-MICHEL-CHEF-CHEF (MAIRIE),DECP
SIRET:21440184600016,,,,21440184600016,COMMUNE DE SAINT-NAZAIRE (MAIRIE),DECP
SIRET:21440187900017,,,,21440187900017,COMMUNE DE SAINT-PERE-EN-RETZ (MAIRIE),DECP
SIRET:21440190300155,,,,21440190300155,COMMUNE DE SAINT-SEBASTIEN-SUR-LOIRE (MAIRIE),DECP
SIRET:21440194500016,,,,21440194500016,COMMUNE DE SAUTRON (MAIRIE),DECP
SIRET:21440195200012,,,,21440195200012,COMMUNE DE SAVENAY (MAIRIE),DECP
SIRET:21440201800011,,,,21440201800011,COMMUNE DE SUCE-SUR-ERDRE (MAIRIE),DECP
SIRET:21440204200110,,,,21440204200110,COMMUNE DE THOUARE-SUR-LOIRE (MAIRIE),DECP
