idweb,dateparution,datefindiffusion,datelimitereponse,nomacheteur,code_departement,famille,nature,nature_libelle,type_procedure,type_marche,type_avis,descripteur_libelle,objet,titulaire,annonce_lie,contractfolderid,etat,url_avis,donnees_format,cpv_principal,cpv_all,buyer_siret,buyer_cp,buyer_ville,amount_eur,duration_months,duration_source_field,date_attribution,date_publication_anterieure
15-42843,2015-03-24,2015-04-13,2015-04-13T11:30:00+00:00,Cté de Cnes de l'Ile de Noirmoutier,85|44|35|75,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),prestation pour la réalisation d'une plateforme e-commerce sur l'ile à Noirmoutier,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-42843,legacy,72000000,72000000,,85330,Noirmoutier-en-l'Ile,,48.0,DUREE_MOIS,,
15-75027,2015-05-18,2015-06-17,,O.P.H LE MANS HABITAT,72,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services)|Internet,"Prestation de service et fourniture de réseaux de transmission de données et d'interconnexion de sites, d'accès internet et de téléphonie ip au profit de l'OPH au Mans",SARTHE TELECOM,15-7652,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-75027,legacy,72300000,72300000,,72055,Le Mans,,,,2015-04-09,2015-01-21
15-44999,2015-03-24,2015-05-05,2015-05-05T16:00:00+00:00,Conseil général de la Vendée,85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,,5|1|,Plastique|Produits des industries diverses|Textile,fourniture d'articles répondant aux besoins des associations et des manifestations à caractère promotionnel à La Roche Sur Yon,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-44999,legacy,39294100,39294100|18230000|22459100|35821000,,85923,La Roche sur Yon,,,,,
15-75780,2015-05-19,2015-06-18,,Le Mans Métropole - Communauté Urbaine,72,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,SERVICES,|10|6,Internet,développement d'un portail intranet entreprise pour la SETRAM au Mans,GROUPE CYRES,14-162734,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-75780,legacy,72212220,72212220,,72039,Le Mans,139986.0,,,2015-05-06,
15-47591,2015-03-27,2015-04-20,2015-04-20T11:00:00+00:00,Ville d'Angers,49,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,,5|1|,Réseaux divers,"Boucle optique Angevine et infrastructures de communications électroniques : extensions et restructurations, à Angers",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-47591,legacy,32412100,32412100,,49020,Angers,,36.0,DUREE_MOIS,,
15-83578,2015-06-02,2015-07-02,,Le Mans Métropole - Communauté Urbaine,72,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,,|10|6,Matériel de transmission,fourniture et entretien des équipements de radio-téléphone TETRA au Mans,MODULO COM,15-16049,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-83578,legacy,32236000,32236000,,72039,Le Mans,,,,2015-05-29,2015-02-04
15-47696,2015-03-30,2015-05-07,2015-05-07T16:30:00+00:00,Ministère des Affaires étrangères,75|44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Logiciel,Prestation t.m.a. de la messagerie du m.a.e.d.i. dans l'evironnement kerio et logiciels libres d'une part et dans l'environnement microsoft de l'autre pour le Ministère des Affaires étrangères à Paris,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-47696,legacy,72500000,72500000,,75015,Paris,,48.0,DUREE_MOIS,,
15-86614,2015-06-08,2015-06-30,,GIE SESAM Vitale,72,JOUE,ATTRIBUTION,Résultat de marché,RESTREINT,SERVICES,|10|6,Internet|Logiciel,"assistance technique dans le domaine de la sécurité des systèmes d'information couvrant les domaines : conseils en sécurité, analyses de risques ou audits au profit du GIE Sesam Vitale au Mans",Orange consulting|Solucom|Oppida,14-19260,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-86614,legacy,72000000,72000000,,72019,Le mans cedex 2,,,,2015-05-18,2014-02-07
15-31076,2015-04-01,2015-04-28,2015-04-28T11:30:00+00:00,Ville de La Roche-sur-Yon,85,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,,5|1|,Matériel de secours et d'incendie|Mobilier extérieur,Fourniture de matériels de protection et de signalisation incendie au profit de la ville à La Roche-Sur-Yon,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-31076,legacy,35110000,35110000,,85021,La Roche-sur-Yon,,48.0,DUREE_MOIS,,
15-83607,2015-06-11,2016-03-31,,Centre hospitalier de Saumur,49,JOUE,ATTRIBUTION,Résultat de marché,DIALOGUE_COMPETITIF,,|10|6,Informatique (prestations de services)|Logiciel,informatisation de la production de soins pour le Centre hospitalier à Saumur,Softway Medical,14-141908,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-83607,legacy,48814000,48814000,,49403,Saumur Cedex,1529871.72,,,2015-06-10,2014-09-27
15-50314,2015-04-02,2015-05-07,,Ministère des Affaires étrangères,75|44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,,5|1|,Informatique (prestations de services),"T.M.A. de la messagerie du M.A.E.D.I. dans l'evironnement KERIO et logiciels libres d'une part et dans l'environnement microsoft de l'autre, à Paris (annulation)",,15-47696,,ANNULATION,https://www.boamp.fr/pages/avis/?q=idweb:15-50314,legacy,72500000,72500000,,75015,Paris,,,,,
15-90510,2015-06-18,2015-09-01,,Conseil régional des Pays de la Loire,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services),prestation de saisie des données et mise à jour du fichier protocolaire de la région des Pays de la Loire pour le Conseil régional à Nantes,OPERATIONNELLE,14-180547,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-90510,legacy,72310000,72310000,,44966,Nantes cedex 9,600000.0,,,2015-04-08,2014-12-03
15-51571,2015-04-07,2015-05-18,2015-05-18T11:00:00+00:00,RESIDENCES SAINT ALEXANDRE,85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,,5|1|,Informatique (prestations de services)|Logiciel,"evolution du système d'information autour du dossier du résident informatisé, à Mortagne Sur Sevre",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-51571,legacy,48180000,48180000,,85290,Mortagne sur sevre,,,,,
15-96329,2015-06-24,2015-07-23,,Le Mans Métropole - Communauté Urbaine,72,JOUE,ATTRIBUTION,Résultat de marché,DIALOGUE_COMPETITIF,SERVICES,|10|6,Informatique (prestations de services)|Internet,remplacement du site internet www.lemans.fr et des sites satellites au Mans,PLAN.NET|ATALAN,14-149653,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-96329,legacy,72413000,72413000,,72039,Le Mans,270791.6,,,2015-06-22,2014-10-07
15-52664,2015-04-08,2015-05-18,2015-05-18T16:30:00+00:00,Ministère des Affaires étrangères,75|44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Logiciel,"prestation de TMA de la messagerie du ministère des affaires étrangères dans l'environnement Kerio et logiciels libres d'une part et dans l'environnement microsoft de l'autre, à Paris",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-52664,legacy,72500000,72500000,,75015,Paris,,48.0,DUREE_MOIS,,
15-99507,2015-06-30,2015-07-31,,Vendée Eau,85,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,,|10|6,Signalétique,fourniture et pose de supports signalétiques pour les usines de production d'eau potable et sur les rives des retenues d'eau au profit de Vendée Eau à La Roche-Sur-Yon,OUEST GRAVURE|OUEST GRAVURE|OUEST GRAVURE|LACROIX SIGNALISATION,15-50024,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-99507,legacy,35261000,35261000,,85036,La roche-sur-yon cedex,,,,2015-06-25,
15-53947,2015-04-10,2015-04-30,2015-04-30T11:00:00+00:00,Commune de Saint-Herblain,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Informatique (prestations de services)|Internet|Logiciel,"Réalisation du nouveau site web: web design, acquisition et mise en oeuvre des briques logicielles nécessaires au profit de la ville de Saint Herblain",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-53947,legacy,48220000,48220000,,44802,Saint herblain cedex,,,,,
15-99569,2015-06-30,2015-09-13,,GCS eSanté Pays de la Loire,44,JOUE,ATTRIBUTION,Résultat de marché,DIALOGUE_COMPETITIF,,|10|6,Logiciel,"fourniture d'un système d'information permettant l'échange, le partage, l'interprétation et la sécurisation de l'imagerie médicale au profit du GCS à Nantes",CARESTREAM HEALTH FRANCE,13-106363,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-99569,legacy,48900000,48900000,,44200,Nantes,,,,2015-05-13,2013-06-15
15-54892,2015-04-10,2015-05-10,,SDIS 85,85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,,5|1|,Logiciel|Matériel de transmission,fourniture et mise en oeuvre des nouveaux équipements et logiciels au CTA/Codis du SDIS et au Samu du CHD à La Roche sur Yon (rectificatif),,15-43149,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:15-54892,legacy,32522000,32522000,,85017,La roche sur yon cedex,,,,,
15-101606,2015-07-02,2015-11-01,,CHU de Nantes,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,,|10|6,Maintenance|Matériel de transmission,"fourniture, installation et maintenance d'équipements DATI au profit du CHU de Nantes",Lv com,14-181564,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-101606,legacy,32344250,32344250,,44093,Nantes,200000.0,,,2015-06-23,2014-12-05
15-54272,2015-04-10,2015-06-01,2015-06-01T15:00:00+00:00,Centre Hospitalier de Cholet,49,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,,5|1|,Articles à usage unique|Non-tissés|Textile,Fourniture d'articles de protection à usage unique pour le Centre Hospitalier de Cholet,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-54272,legacy,None,None|39550000|35814000|19520000,,49325,Cholet cedex,,44.0,DUREE_MOIS,,
15-93951,2015-07-03,2015-09-02,,Syndicat Trivalis,85,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,SERVICES,|10|6,Informatique (prestations de services)|Publicité,Conception de visuels et de supports de communication pour le compte du Syndicat Trivalis à La Roche-sur-Yon,AUGURAL|AUGURAL|AGENCE RELLINGER,15-25385,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-93951,legacy,32584000,32584000,,85015,La Roche sur Yon,,,,2015-06-22,
15-54977,2015-04-13,2015-05-22,2015-05-22T10:30:00+00:00,Conseil Général de la Sarthe,72,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Internet|Télécommunications,prestations de services de télécommunications pour le compte du département de la Sarthe,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-54977,legacy,64200000,64200000|64212000|72400000,,72072,Le Mans,,,,,
15-107017,2015-07-10,2015-08-31,,ADEME,49,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Maintenance|Maîtrise d'oeuvre|Prestations de services,TMA Dia'Terre : maintenance évolutive et corrective à Angers,KALICONSEIL|AUSY,15-4247,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-107017,legacy,72267100,72267100,,49004,ANGERS CEDEX 01,320000.0,,,2015-07-09,2015-01-16
15-55213,2015-04-13,2015-05-05,2015-05-05T11:00:00+00:00,Ville du Croisic,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,,5|1|,Voirie et réseaux divers,"aménagement de l'avenue Aristide Briand, au Croisic",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-55213,legacy,32424000,32424000,,44490,le croisic,,12.0,DUREE_MOIS,,
15-56123,2015-04-14,2015-05-13,2015-05-13T16:00:00+00:00,Le Mans Métropole - Communauté Urbaine,72,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,,5|1|,Eclairage public|Electricité|Espaces verts|Réseaux divers|Voirie,Aménagement du parvis du collège de l'épine et de ses abords au Mans,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-56123,legacy,45112500,45112500|32400000|45112700,,72039,Le Mans,,,,,
15-56649,2015-04-14,2015-05-26,2015-05-26T12:00:00+00:00,Conseil régional des Pays de la Loire,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Dématérialisation|Edition|Prestations de services,"réalisation et diffusion de publications digitales, à Nantes",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-56649,legacy,72500000,72500000,,44966,Nantes cedex 9,,12.0,DUREE_MOIS,,
15-55527,2015-04-14,2015-05-26,2015-05-26T11:00:00+00:00,CDC du Pays de Saint Gilles Cx de Vie,85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Logiciel,fourniture d'un logiciel et de systemes d'identification pour la gestion et la facturation de la redevance incitative (reomi) et prestations associees à Saint Gilles Croix De Vie,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-55527,legacy,48000000,48000000,,85806,Saint gilles croix de vie cedex,,,,,
16-2771,2016-01-08,2016-01-15,,Conseil général de la Vendée,85,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,,5|1|,Informatique (prestations de services)|Logiciel,"Conception, réalisation et installation de productions multimédias au musée des enfants à La Roche Sur Yon (rectificatif)",,15-185112,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:16-2771,legacy,72230000,72230000,,85923,La Roche sur Yon,,,,,
16-490,2016-01-05,2016-02-10,,Ville de Nantes,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,,|10|6,Sonorisation,"acquisition de matériels d'amplification et de diffusion sonore pour la salle paul fort, 9 rue basse porte à Nantes",Société MelpomenSonorisation - Eclairage,15-146024,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-490,legacy,32342410,32342410,,44094,Nantes,107950.75,,,2015-12-17,2015-09-30
16-60088,2016-04-29,2016-05-09,,Laval Agglomération,53,JOUE,RECTIFICATIF,Rectificatif,,TRAVAUX,,Télésurveillance,"Amélioration de la vidéosurveillance, de la sonorisation et du local sécurité du stade Francis Lebasser à Laval.",,16-40838,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:16-60088,legacy,32342410,32342410,,53008,Laval cedex,,,,,
16-3447,2016-01-11,2016-02-05,2016-02-05T15:00:00+00:00,Centre Hospitalier Loire Vendée Océan,85,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,,5|1|,Informatique (matériel)|Informatique (prestations de services),"Fourniture et installation de serveurs informatiques au profit du Centre Hospitalier Loire Vendée Océan, à Challans",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-3447,legacy,48800000,48800000,,85302,Challans Cedex,,,,,
16-8934,2016-01-21,2016-02-22,,Nantes Métropole,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Etude|Voirie,Diagnostic d'accessibilité de la voirie du territoire métropolitain et création d'une base de données sig à Nantes,ULR Valor,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-8934,legacy,48614000,48614000,,44923,Nantes cedex 9,133151.0,,,2016-01-18,
16-4040,2016-01-12,2016-02-22,2016-02-22T11:00:00+00:00,Cté de Communes du Pays des Herbiers,85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),gestion du cybercentre de la communauté de communes du pays des herbiers à Herbiers,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-4040,legacy,72514100,72514100,,85504,Les Herbiers,,,,,
16-15746,2016-02-02,2016-03-03,,CNIEG,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services)|Internet,Appui au pilotage de projets du systeme d'information au profit de la CNIEG à Nantes,SEMANTYS,15-154566,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-15746,legacy,72400000,72400000,,44200,Nantes,,,,2016-01-28,
16-6135,2016-01-14,2016-02-19,2016-02-19T11:00:00+00:00,SDIS de la Sarthe,72,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,,5|1|,Logiciel,"fourniture, installation, mise en service et maintenance d'un serveur d'affichage, d'un mur d'image et d'ecrans à Coulaines",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-6135,legacy,48500000,48500000,,72190,COULAINES,,,,,
16-16021,2016-02-03,2016-03-03,,Ville du Mans,72,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,,|10|6,Audiovisuel|Edition,acquisition de documents sonores et audiovisuels - supports préenregistrés son et images destinés à tous les publics du réseau des médiathèques de la ville du Mans,SOCIETE GAM|BOOK'IN DIFFUSION|RDM VIDEO|Société CVS|ADAV - Ateliers Diffusion Audiovisuelle,15-142353,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-16021,legacy,32353000,32353000,,72039,LE MANS,,,,2016-01-21,2015-09-22
16-5206,2016-01-14,2016-02-18,2016-02-18T11:00:00+00:00,Commune de Saint-Nazaire,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,,5|1|,"Ascenseur|Carrelage|Chauffage (travaux)|Cloison, faux plafond|Electricité|Etanchéité|Gros oeuvre|Menuiserie|Mobilier|Peinture (travaux)|Plomberie|Revêtements de sols|Revêtements muraux|Sanitaire|Serrurerie|Ventilation",rénovation des foyers logements pour le ccas de la ville à Saint-Nazaire,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-5206,legacy,None,None|45223220|45261420|45421000|39100000|44112300|45431000|45432111|44111400|45313100|45442100|32412000|45330000|45112700,,44606,Saint-Nazaire cédex,,28.0,DUREE_MOIS,,
16-14952,2016-02-08,2016-05-05,,Conseil départemental de la Mayenne,53,JOUE,ATTRIBUTION,Résultat de marché,NEGOCIE,SERVICES,|10|6,Progiciel,progiciels de gestion financière et de transport scolaire à Laval,GFI progiciels|GFI Progiciels,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-14952,legacy,35710000,35710000,,53014,Laval,,,,2015-12-22,
16-7712,2016-01-18,2016-03-01,2016-03-01T11:00:00+00:00,CNIEG,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),prestation pour confier une partie des activités informatiques de la Cnieg à un tiers sous la forme d'un accord cadre d'infogérance à Nantes,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-7712,legacy,72500000,72500000,,44200,Nantes,,24.0,DUREE_MOIS,,
16-20290,2016-02-19,2016-04-25,,Conseil régional des Pays de la Loire,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services)|Logiciel,Maintenance des licences business objects au profit du Conseil Régional à Nantes,DECIVISION,15-141361,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-20290,legacy,72500000,72500000,,44966,Nantes cedex 9,,,,2015-12-07,2015-09-19
16-1046,2016-01-18,2016-03-09,2016-03-09T13:00:00+00:00,ADEME,49,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Logiciel,Mise en oeuvre d'une solution de gestion des colloques en mode saas à Angers,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-1046,legacy,72212500,72212500,,49004,ANGERS cedex 01,,55.0,DUREE_MOIS,,
16-16609,2016-03-04,2016-04-02,,Nantes Métropole,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Eclairage public|Prestations de services,"élaboration, conformément à une charte graphique précise, d'établir des plans de réseaux d'éclairage public et de régulation de trafic à Nantes",Dagit Ingénierie,15-175210,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-16609,legacy,72310000,72310000,,44923,Nantes cedex 9,3648.0,,,2016-02-25,2015-11-24
16-7640,2016-01-18,2016-03-10,2016-03-10T15:00:00+00:00,CHU de Nantes,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,,5|1|,Informatique (prestations de services)|Maintenance,"fourniture, mise en oeuvre et maintenance d'une solution de gestion des recrutements, de la mobilité interne et des concours à Nantes",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-7640,legacy,48450000,48450000,,44093,Nantes,,,,,2015-04-22
16-32334,2016-03-07,2016-04-03,,Le Mans Métropole - Communauté Urbaine,72,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,,|10|6,Informatique (prestations de services)|Logiciel,"fourniture, mise en oeuvre et maintenance d'un logiciel de gestion de parc informatique et de helpdesk utilisateurs au Mans",APSYNET,15-107245,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-32334,legacy,48700000,48700000,,72039,Le Mans,,,,2016-02-02,
16-7903,2016-01-19,2016-03-01,2016-03-01T11:00:00+00:00,Ecole des Mines de Nantes,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,,5|1|,Câblage|Consommable informatique|Informatique (matériel),fourniture d'équipements de connexion réseau 10/40 gigabits à l'Ecole des Mines à Nantes,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-7903,legacy,32420000,32420000,,44307,Nantes cedex 3,,,,,
16-33092,2016-03-08,2016-03-31,,commune de Le Pellerin,44,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,SERVICES,|10|6,Informatique (prestations de services),"Marché de prestation de service de fourniture, installation et maintenance d'un système de vidéoprotection sur le territoire de la commune, au Pellerin",SARL LERAY SECURITE,15-165845,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-33092,legacy,35125300,35125300,,44640,Le Pellerin,,,,2016-02-16,
16-10778,2016-01-22,2016-02-22,2016-02-22T11:00:00+00:00,GIE SESAM Vitale,72,JOUE,APPEL_OFFRE,Avis de marché,RESTREINT,SERVICES,5|1|,Informatique (prestations de services),prestation d'assistance technique décisionnel pour le compte de GIE SESAM Vitale au Mans,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-10778,legacy,72611000,72611000,,72019,Le mans cedex 2,,24.0,DUREE_MOIS,,
16-33502,2016-03-09,2016-04-07,,CNIEG,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services),tierce recette applicative pour le CNIEG à Nantes,OPEN,15-175690,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-33502,legacy,72400000,72400000,,44200,Nantes,,,,2016-02-23,
16-10414,2016-01-22,2016-02-12,2016-02-12T11:00:00+00:00,Conseil général de Loire-Atlantique,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Informatique (prestations de services),référencement web et réseaux sociaux à Nantes,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-10414,legacy,72400000,72400000,,44041,Nantes,,24.0,DUREE_MOIS,,
16-44784,2016-03-30,2016-04-28,,Département de la Sarthe,72,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services)|Logiciel,déploiement d'une plateforme de téléservices à destination des usagers du département de la sarthe au Mans,LANTEAS,15-102510,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-44784,legacy,72212900,72212900,,72072,Le Mans,,,,2016-01-26,2015-07-07
16-10649,2016-01-25,2016-03-04,2016-03-04T15:00:00+00:00,SDIS 44,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,,5|1|,Informatique (matériel),fourniture de matériels informatiques et prestations associées à La Chapelle Sur Erdre,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-10649,legacy,None,None|48820000|30230000,,44243,La chapelle sur erdre,,,,,
16-49735,2016-04-06,2016-05-20,,Le Mans Métropole - Communauté Urbaine,72,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,,|10|6,Logiciel,"Fourniture, installation et maintenance du logiciel PC WIN2 et du matériel associé pour le suivi des postes de relèvement, des stations d'épuration et du diagnostic permanent",CYRISEA,15-178728,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-49735,legacy,48150000,48150000,,72039,Le Mans,40720.0,,,2016-03-14,
16-12477,2016-01-27,2016-03-21,2016-03-21T11:00:00+00:00,GPM de Nantes - St Nazaire,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,,5|1|,Informatique (matériel)|Informatique (prestations de services)|Logiciel,"fourniture et installation de toutes les licences et logiciels nécessaires, à Nantes",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-12477,legacy,32424000,32424000,,44186,Nantes,,,,,
16-53903,2016-04-18,2016-05-31,,COMSOPGN,72,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Abris|Equipements spécialisés,Fourniture de cordons spirales équipés pour les casques moto de la gendarmerie nationale pour le compte du Service Central des Réseaux et Technologies Avancées (S.C.R.T.A.) situé au Mans (72),COMUFRANCE SAS,15-186668,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-53903,legacy,32520000,32520000,,36300,Le blanc,140000.0,,,2016-04-04,
16-14558,2016-02-02,2016-03-11,2016-03-11T11:00:00+00:00,INRA Angers Nantes,44|75,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Internet,"prestation d'hébergement, support technique et fonctionnel et assistance technico-pédagogique, graphique et ergonomique pour la plateforme de téléformation moodle de l'Inra à Nantes",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-14558,legacy,72415000,72415000,,44316,Nantes,129000.0,36.0,DUREE_MOIS,,
16-55334,2016-04-18,2016-05-30,,Conseil général de la Vendée,85,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,SERVICES,|10|6,"Jeux, jouets","Conception, réalisation et installation de productions multimédias au musée des enfants",opixido,15-185112|16-2771,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-55334,legacy,72230000,72230000,,85923,La Roche sur Yon,64539.0,,,2016-04-11,
16-15282,2016-02-02,2016-02-22,2016-02-22T15:00:00+00:00,MONTREVAULT-SUR-ÈVRE,49,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,,5|1|,Logiciel,"acquisition, mise en place et maintenance d'un logiciel de gestion de l'ensemble des activités petite-enfance, enfance et jeunesse et d'équipements liés à Montrevault-sur-Èvre",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-15282,legacy,48000000,48000000,,49117,Montrevault-sur-Èvre Cedex,,,,,
16-57603,2016-04-25,2016-06-05,,SDIS de la Sarthe,72,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,,|10|6,Logiciel,"FOURNITURE, INSTALLATION, MISE EN SERVICE ET MAINTENANCE D'UN SERVEUR D'AFFICHAGE, D'UN MUR D'IMAGE ET D'ÉCRANS À COULAINES",EYEVIS FRANCE,16-6135,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:16-57603,legacy,48500000,48500000,,72190,COULAINES,,,,2016-04-12,
