buyer_name_raw,buyer_name_clean,buyer_key,dept_code,city,postal_code,n_notices,n_appel_offre,has_existing_boamp_siret,existing_siret_values
Loire Atlantique Développement - GIE,loire atlantique developpement gie,NAME:loire atlantique developpement gie,44,44262 NANTES,,2,1,False,
préfet de la région Pays de la Loire,prefet de la region pays de la loire,NAME:prefet de la region pays de la loire,44,Nantes cedex 1,44035,6,4,False,
Commune de Challans,challans,NAME:challans,85,challans,85300,3,2,True,21850047800209
CTE REG PECHES MARITIMES ELEVAGES MARI,cte reg peches maritimes elevages mari,NAME:cte reg peches maritimes elevages mari,85,Les Sables d'Olonne,85100,2,1,False,
COMMUNE DE SAINT NAZAIRE,saint nazaire,NAME:saint nazaire,44,Saint Nazaire,44600,40,22,False,
Ville de Le Pouliguen,le pouliguen,NAME:le pouliguen,44,LE POULIGUEN,44510,1,1,False,
association songo,association songo,NAME:association songo,44,Nantes,44200,3,2,False,
DEPARTEMENT DE LA MAYENNE,la mayenne,NAME:la mayenne,53,LAVAL,53014,42,24,False,
Bretagne Développement Innovation,bretagne developpement innovation,NAME:bretagne developpement innovation,35,Cesson-sévigné,35510,1,1,False,
SEC GAL POUR L ADM MIN INTERIEUR OUEST,sec gal pour l adm min interieur ouest,NAME:sec gal pour l adm min interieur ouest,49,Rennes cedex 2,35207,7,5,False,
Mancelle d'habitation,mancelle d habitation,NAME:mancelle d habitation,72,LE MANS,,2,1,False,
Ville d'Ecouflant,ville d ecouflant,NAME:ville d ecouflant,49,Ecouflant,49000,2,2,False,
"SEMITAN, mandataire de la CUN",semitan mandataire de la cun,NAME:semitan mandataire de la cun,44,Nantes Cedex 1,44046,2,1,False,
Institut Régional Administration Lyon,institut regional administration lyon,NAME:institut regional administration lyon,69,Villeurbanne cedex,69616,2,2,False,
VILLE DE PORNICHET,pornichet,NAME:pornichet,44,PORNICHET,44380,1,1,False,
COMMUNE DE VERTOU,vertou,NAME:vertou,44,VERTOU,44123,2,2,False,
Communauté de communes Pays Fléchois,communes pays flechois,NAME:communes pays flechois,72,LA FLECHE CEDEX,72202,1,1,False,
COMMUNAUTE COMMUNES PAYS DE REDON,communaute communes pays de redon,NAME:communaute communes pays de redon,35,Redon,35600,1,1,False,
MINDEF/SGA/DCSID/ESID Bordeaux,mindef sga dcsid esid bordeaux,NAME:mindef sga dcsid esid bordeaux,17,Rochefort air,17133,1,1,False,
