contract_id,renewal_contract_id,event,composite_score,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict,text_similarity,cpv_match_score,temporal_score,declared_duration_months,observed_duration_months
BOAMP:18-27476,BOAMP:19-82021,1,0.5216,0.5216,0.3807,0.14089999999999997,2,False,False,0.4516,0.0,0.9547,12.0,11.73
BOAMP:18-29896,,0,,,,,0,False,False,,,,48.0,82.0
BOAMP:18-28651,BOAMP:22-165917,1,0.6497,0.6497,0.6181,0.03160000000000007,17,False,False,0.3306,1.0,0.5872,60.0,57.52
BOAMP:18-28473,,0,,,,,0,False,False,,,,12.0,81.96
BOAMP:18-30222,BOAMP:19-17058,1,0.5278,0.5278,0.4894,0.038400000000000045,7,False,False,0.3295,0.4,0.7302,12.0,10.38
BOAMP:18-30024,BOAMP:22-162609,1,0.4709,0.4709,0.3436,0.12729999999999997,5,False,False,0.4111,0.2,0.5324,60.0,57.19
BOAMP:18-32739,,0,,,,,0,False,False,,,,12.0,81.8
BOAMP:18-31687,BOAMP:22-72517,1,0.6667,0.6667,0.611,0.05569999999999997,17,False,False,0.7682,0.2,0.7968,48.0,46.78
BOAMP:18-31507,,0,,,,,0,False,False,,,,11.0,79.6
BOAMP:18-34848,BOAMP:22-55482,1,0.3835,0.3835,,,1,True,False,0.3024,0.0,0.5626,48.0,50.62
BOAMP:18-35039,,0,,,,,0,False,False,,,,12.0,75.66
BOAMP:18-35804,,0,,,,,0,False,False,,,,48.0,81.54
BOAMP:18-37425,,0,,,,,0,False,False,,,,48.0,77.96
BOAMP:18-36652,BOAMP:21-169350,1,0.4516,0.4516,0.4203,0.031299999999999994,4,False,False,0.2948,0.0,0.9185,48.0,48.49
BOAMP:18-38804,BOAMP:22-78731,1,0.4065,0.4065,,,1,True,False,0.3516,0.0,0.5791,48.0,50.53
BOAMP:18-38591,BOAMP:21-169350,1,0.4286,0.4286,0.4147,0.013899999999999968,4,False,False,0.2344,0.0,0.924,48.0,48.46
BOAMP:18-37028,BOAMP:24-80432,1,0.4935,0.4935,,,1,True,False,0.3661,0.0,0.9853,72.0,71.91
BOAMP:18-38747,BOAMP:19-80774,1,0.4504,0.4504,,,1,True,False,0.2413,,0.4564,12.0,8.74
BOAMP:18-40625,BOAMP:22-51760,1,0.9541,0.9541,0.5838,0.37029999999999996,5,False,True,1.0,1.0,0.7707,48.0,49.38
BOAMP:18-40176,BOAMP:19-163024,1,0.5366,0.5366,0.4813,0.05529999999999996,4,False,False,0.8292,0.0,0.2749,24.0,28.35
BOAMP:18-40946,BOAMP:21-67011,1,0.3226,0.3226,,,1,True,False,0.3479,0.0,0.1671,48.0,43.0
BOAMP:18-42613,BOAMP:19-10428,1,0.477,0.477,0.4583,0.018699999999999994,3,False,False,0.4935,0.0,0.6481,12.0,9.89
BOAMP:18-41248,BOAMP:22-5921,1,0.4306,0.4306,0.3721,0.058499999999999996,3,False,False,0.33,0.0,0.7433,48.0,49.54
BOAMP:18-46804,BOAMP:19-56150,1,0.4487,0.4487,0.3651,0.08360000000000001,5,False,False,0.2598,0.0,0.9742,12.0,12.16
BOAMP:18-46346,BOAMP:21-35440,1,0.4802,0.4802,0.4574,0.022800000000000042,2,False,False,0.2586,0.2,0.8841,36.0,36.7
BOAMP:18-41182,,0,,,,,0,False,False,,,,60.0,80.78
BOAMP:18-51459,BOAMP:22-72517,1,0.5499,0.5499,0.5397,0.010200000000000098,11,False,False,0.6006,0.0,0.7981,48.0,49.21
BOAMP:18-43289,,0,,,,,0,False,False,,,,14.0,80.45
BOAMP:18-52389,,0,,,,,0,False,False,,,,12.0,80.45
BOAMP:18-55455,BOAMP:21-113571,1,0.4547,0.4547,0.4542,0.0005000000000000004,3,False,False,0.5177,0.2,0.2383,48.0,43.43
BOAMP:18-53378,BOAMP:22-52027,1,0.929,0.929,0.6512,0.27780000000000005,17,False,True,0.842,1.0,0.961,48.0,47.77
BOAMP:18-52482,,0,,,,,0,False,False,,,,48.0,74.41
BOAMP:18-54467,,0,,,,,0,False,False,,,,48.0,76.35
BOAMP:18-53804,BOAMP:22-142509,1,0.4642,0.4642,0.4088,0.055400000000000005,4,False,False,0.3354,0.2,0.6502,48.0,50.1
BOAMP:18-56546,BOAMP:22-69242,1,0.7502,0.7502,0.7103,0.039899999999999936,17,False,False,0.4299,1.0,0.8912,48.0,48.65
BOAMP:18-58630,BOAMP:21-138241,1,0.5533,0.5533,0.5359,0.01739999999999997,5,False,False,0.452,0.8,0.1124,48.0,42.67
BOAMP:18-55179,,0,,,,,0,False,False,,,,48.0,80.16
BOAMP:18-57918,BOAMP:20-79138,1,0.5381,0.5381,,,1,True,False,0.2802,,0.7074,24.0,25.76
BOAMP:18-58840,,0,,,,,0,False,False,,,,12.0,80.12
BOAMP:18-61507,,0,,,,,0,False,False,,,,48.0,79.96
BOAMP:18-60154,BOAMP:19-176963,1,0.4186,0.4186,,,1,True,False,0.2557,0.0,0.8318,12.0,13.01
BOAMP:18-61256,BOAMP:22-108057,1,0.5474,0.5474,0.4829,0.0645,14,False,False,0.317,0.4,0.8528,48.0,48.88
BOAMP:18-61655,BOAMP:22-108057,1,0.7509,0.7509,0.6032,0.14770000000000005,19,False,True,0.4508,1.0,0.8528,48.0,48.88
BOAMP:18-62528,,0,,,,,0,False,False,,,,6.0,79.86
BOAMP:18-62916,,0,,,,,0,False,False,,,,48.0,66.89
BOAMP:18-66502,,0,,,,,0,False,False,,,,48.0,79.53
BOAMP:18-62604,BOAMP:22-54094,1,0.6771,0.6771,,,1,True,False,0.706,0.2,0.9733,48.0,48.16
BOAMP:18-67939,,0,,,,,0,False,False,,,,48.0,79.4
BOAMP:18-66863,BOAMP:19-119269,1,0.6513,0.6513,0.644,0.007299999999999973,14,False,False,0.5259,0.4,0.9547,12.0,11.73
BOAMP:18-70110,BOAMP:18-122920,1,0.3725,0.3725,0.291,0.08150000000000002,2,False,False,0.5416,0.0,0.0293,12.0,6.18
BOAMP:18-71355,BOAMP:23-83529,1,0.3461,0.3461,,,1,True,False,0.3226,0.0,0.3353,60.0,56.01
BOAMP:18-71689,BOAMP:22-29878,1,0.5843,0.5843,0.4244,0.15990000000000004,3,False,False,0.2047,1.0,0.512,48.0,45.07
BOAMP:18-72093,,0,,,,,0,False,False,,,,48.0,74.28
BOAMP:18-73364,,0,,,,,0,False,False,,,,36.0,79.01
BOAMP:18-74871,,0,,,,,0,False,False,,,,12.0,79.01
BOAMP:18-74252,BOAMP:20-106379,1,0.9381,0.9381,0.4772,0.46090000000000003,5,False,True,1.0,1.0,0.6903,24.0,22.14
